Loan Amount,Funded Amount,Loan Term,Interest Rate,Loan Grade,Loan SubGrade,Employee Title,Employemen Length,Annual Income,Verification Status,Loan Issued Date,Loan Status,Loan Purpose,Title,Address State,Month since last Delinquency,Outstanding Principal,Total Payment,Total Recvd Principal,Total Recvd Interest,Total Recvd Late fees
24250,24250, 60 months,24.11%,G,G5,Medical Management Options,1 year,108000,Verified,11-Dec,Fully Paid,credit_card,Credit Card Loan,LA,,0,35626.81531,24250,11376.82,0
7800,7800, 36 months,13.49%,C,C1,The Weeks Lerman Group,10+ years,300000,Verified,11-Dec,Fully Paid,home_improvement,kitchen ,NY,18,0,9566.419999,7800,1736.42,30.00000001
15000,15000, 60 months,13.49%,C,C1,United States Postal Service,7 years,30000,Source Verified,11-Dec,Fully Paid,debt_consolidation,consolidation loan,GA,,0,20509.70002,15000,5509.7,0
10000,10000, 36 months,13.49%,C,C1,town of Winthrop Mass,10+ years,75000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,MA,63,0,12222.37767,10000,2222.38,0
12000,12000, 36 months,12.69%,B,B5,City of San Francisco,5 years,80000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,CA,,0,14491.35153,12000,2491.35,0
5500,5500, 36 months,12.69%,B,B5,Costco Wholesale,1 year,20000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,TX,,0,6636.081911,5500,1136.08,0
4000,4000, 36 months,12.42%,B,B4,Publican Restaurant,1 year,36000,Not Verified,11-Dec,Fully Paid,debt_consolidation,debt consolidation,IL,,0,4811.732767,4000,811.73,0
8000,8000, 36 months,7.51%,A,A3,Department of Justice,1 year,51400,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,VA,,0,8906.790299,8000,906.79,0
25000,25000, 60 months,17.58%,D,D4,City of Orland,10+ years,76000,Verified,11-Dec,Fully Paid,credit_card,Credit Card refinance ,CA,47,0,33356.35647,25000,8356.36,0
30000,30000, 60 months,14.27%,C,C2,Freudenberg NOK,1 year,70000,Verified,11-Dec,Fully Paid,debt_consolidation,credit card consolidation,NH,,0,41877.70997,30000,11877.71,0
13000,13000, 60 months,9.91%,B,B1,Modified Polymer Componets,2 years,26004,Source Verified,11-Dec,Fully Paid,other,Other Loan,CA,,0,16347.65998,13000,3347.66,0
16000,16000, 60 months,11.71%,B,B3,US Department of Education,< 1 year,84855,Verified,11-Dec,Fully Paid,home_improvement,New Kitchen,MD,66,0,18256.41891,16000,2256.42,0
10000,10000, 36 months,10.65%,B,B2,Time Frame,< 1 year,85000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,OR,,0,11726.31037,10000,1726.31,0
28100,28100, 60 months,17.58%,D,D4,JP Morgan Chase,5 years,57200,Verified,11-Dec,Fully Paid,debt_consolidation,Prosper,NJ,,0,40355.68997,28100,12255.69,0
15000,15000, 36 months,16.77%,D,D2,iTech us inc,6 years,95000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation,MD,,0,16209.5065,15000,1209.51,0
12000,12000, 36 months,11.71%,B,B3,Ghilotti Construction Company,5 years,48000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Credit Card Debt,CA,,0,14288.76169,12000,2288.76,0
6000,6000, 36 months,7.51%,A,A3,White's Lumber,10+ years,25000,Source Verified,11-Dec,Fully Paid,credit_card,PayOff,TX,,0,6719.913435,6000,719.91,0
20000,20000, 60 months,14.27%,C,C2,Hospice of the Sandias,< 1 year,80500,Verified,11-Dec,Fully Paid,debt_consolidation,Personal loan,NM,8,0,28296.94184,20000,8226.71,70.23
5000,5000, 36 months,8.90%,A,A5,,n/a,40000,Verified,11-Dec,Fully Paid,wedding,Loan,NY,,0,5646.588215,5000,646.59,0
30000,30000, 60 months,19.91%,E,E4,The Boeing Company,10+ years,90000,Verified,11-Dec,Fully Paid,debt_consolidation,Loan 1,CA,10,0,45094.96996,30000,15094.97,0
8000,8000, 36 months,6.03%,A,A1,Bourough of Butler,10+ years,86400,Source Verified,11-Dec,Fully Paid,car,Business loan,NJ,,0,8753.305067,8000,753.31,0
5000,5000, 36 months,14.27%,C,C2,Cox communications Inc.,2 years,78500,Not Verified,11-Dec,Fully Paid,debt_consolidation,Last Loan ,GA,14,0,6024.996337,5000,1025,0
15250,15250, 60 months,12.69%,B,B5,Cabenas japanesse auto,3 years,31200,Source Verified,11-Dec,Fully Paid,debt_consolidation,amex and cap off,GA,,0,20674.12641,15250,5424.13,0
22000,22000, 36 months,7.90%,A,A4,Major League Soccer,< 1 year,80000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,NJ,,0,24781.8614,22000,2781.86,0
21000,21000, 60 months,12.42%,B,B4,Altria,10+ years,85000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,AL,,0,25285.26287,21000,4285.26,0
5000,5000, 36 months,7.51%,A,A3,Sotheby's International Realty,9 years,55000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,CA,,0,5548.327303,5000,548.33,0
6250,6250, 36 months,12.69%,B,B5,Mercy VNS and Hospice Services,7 years,25899,Not Verified,11-Dec,Fully Paid,debt_consolidation,Consolidation,MI,,0,7547.550665,6250,1297.55,0
28000,28000, 36 months,7.90%,A,A4,Level 3 Post/ Deluxe,8 years,120000,Verified,11-Dec,Fully Paid,debt_consolidation,solid,CA,,0,31540.56307,28000,3540.56,0
6800,6800, 36 months,10.65%,B,B2,"Zone57, Inc.",< 1 year,57000,Source Verified,11-Dec,Fully Paid,credit_card,Credit Card Consolidation (27% to 10%),CA,,0,7905.19128,6800,1105.19,0
12000,12000, 36 months,11.71%,B,B3,Fox News Channel,6 years,86496,Source Verified,11-Dec,Fully Paid,debt_consolidation,Consolidation,NY,,0,13452.26828,12000,1452.27,0
20000,20000, 60 months,14.27%,C,C2,Geller & Company LLC,5 years,83000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt consolidate five year term,NY,,0,23266.61187,20000,3266.61,0
16800,16800, 36 months,12.42%,B,B4,MullinTBG,10+ years,97000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Faster Debt Reduction Loan,CA,,0,19957.70094,16800,3157.7,0
30000,30000, 60 months,18.64%,E,E1,Sunrise Home Health,10+ years,105000,Verified,11-Dec,Fully Paid,credit_card,Credit card payoff,TX,31,0,41862.10709,30000,11862.11,0
9000,9000, 36 months,10.65%,B,B2,Ideology Product Development,< 1 year,52000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation,MA,39,0,10553.71652,9000,1553.72,0
5200,5200, 36 months,9.91%,B,B1,Central Ohio Transit Authority,2 years,36000,Verified,11-Dec,Fully Paid,credit_card,Credit Card Refinance,OH,,0,5784.347005,5200,584.35,0
6000,6000, 36 months,16.77%,D,D2,UCSF/CVRI,< 1 year,42000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Paying off CC,CA,35,0,7210.994994,6000,1210.99,0
15600,15600, 36 months,12.69%,B,B5,"Beam, Inc.",< 1 year,60000,Verified,11-Dec,Fully Paid,credit_card,Credit Card Payoff,FL,,0,17861.92805,15600,2261.93,0
18000,18000, 60 months,13.49%,C,C1,Manteca Unified School District,6 years,52000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,CA,,0,21712.1881,18000,3712.19,0
11325,11325, 36 months,9.91%,B,B1,Trader Joes,5 years,29000,Verified,11-Dec,Fully Paid,debt_consolidation,CCDebt,CA,,0,13138.09776,11325,1813.1,0
14000,14000, 36 months,14.65%,C,C3,Ole Mexican Foods,2 years,53000,Verified,11-Dec,Fully Paid,debt_consolidation,My Own Mistake,GA,,0,17385.05202,14000,3385.05,0
13975,13975, 36 months,8.90%,A,A5,dun-rite excavating,1 year,42000,Not Verified,11-Dec,Fully Paid,credit_card,pay credit cards,CA,,0,14815.43767,13975,840.44,0
24000,24000, 36 months,7.90%,A,A4,architectural window mfg,9 years,62004,Verified,11-Dec,Fully Paid,debt_consolidation,debt consolidation,NJ,,0,26626.15915,24000,2626.16,0
7000,7000, 36 months,7.90%,A,A4,ADP Retirement Services ,4 years,48000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation,KY,,0,7863.815697,7000,863.82,0
6000,6000, 36 months,12.42%,B,B4,Pepsi bottling ventures,7 years,39996,Source Verified,11-Dec,Fully Paid,other,Home Improvements,NC,2,0,7216.096238,6000,1216.1,0
14000,14000, 36 months,12.42%,B,B4,taft union high school,6 years,52000,Not Verified,11-Dec,Fully Paid,debt_consolidation,payoff,CA,67,0,16631.40425,14000,2631.4,0
13800,13800, 60 months,11.71%,B,B3,Wisconsin Public Service,8 years,109000,Verified,11-Dec,Fully Paid,small_business,Debt Consolidation Loan,WI,,0,17650.56999,13800,3850.57,0
16000,16000, 60 months,17.27%,D,D3,The Salvation Army,10+ years,57000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Last Time Loan,CA,57,0,23996.67,16000,7996.67,0
18000,18000, 60 months,11.71%,B,B3,Krispy Kreme ,4 years,40000,Verified,11-Dec,Fully Paid,major_purchase,Major loan,VA,,0,22025.15345,18000,4025.15,0
35000,35000, 60 months,19.42%,E,E3,Huron Consulting Group,8 years,220000,Verified,11-Dec,Fully Paid,small_business,Small Business Loan,GA,34,0,36682.2077,35000,1682.21,0
12000,12000, 60 months,13.49%,C,C1,Myrtle Beach Pelicans Baseball Club,< 1 year,50000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,SC,,0,16564.28863,12000,4564.29,0
25000,25000, 60 months,14.27%,C,C2,Asso. Illinois Middle Schools ,n/a,117000,Verified,11-Dec,Fully Paid,debt_consolidation,PersonalP,IL,,0,34320.8,25000,9320.8,0
1000,1000, 36 months,10.65%,B,B2,ShopRite,< 1 year,12000,Source Verified,11-Dec,Fully Paid,moving,Moving,NY,,0,1187.762847,1000,172.76,15
5000,5000, 36 months,6.62%,A,A2,Organization,1 year,30000,Source Verified,11-Dec,Fully Paid,wedding,Wedding Expenses,FL,,0,5524.129414,5000,524.13,0
8500,8500, 60 months,17.58%,D,D4,Bridgewater Associates,< 1 year,75000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Paying off my credit cards,CT,,0,12692.85001,8500,4192.85,0
22000,22000, 60 months,12.69%,B,B5,Lawson Software,6 years,91663,Verified,11-Dec,Fully Paid,credit_card,Credit Card Loan,MN,,0,29824.84371,22000,7824.84,0
10000,10000, 36 months,16.77%,D,D2,MADATIN GRORMET,6 years,45000,Source Verified,11-Dec,Fully Paid,credit_card,credit card refince,CA,,0,12788.85161,10000,2788.85,0
6000,6000, 36 months,7.90%,A,A4,Agusta Westland,5 years,139200,Not Verified,11-Dec,Fully Paid,car,Jeep,PA,,0,6395.091693,6000,395.09,0
30000,30000, 36 months,19.42%,E,E3,United Parcel Service,6 years,90000,Source Verified,11-Dec,Fully Paid,debt_consolidation,debt consolidation,KY,60,0,37604.6315,30000,7604.63,0
16000,16000, 36 months,6.62%,A,A2,Nyack hospital,10+ years,100000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Consolidate,PA,,0,17540.31389,16000,1540.31,0
3000,3000, 60 months,12.42%,B,B4,Equipment Transport LLC.,2 years,106800,Not Verified,11-Dec,Fully Paid,car,Ranger Loan,PA,,0,4034.759999,3000,1034.76,0
16000,16000, 60 months,13.49%,C,C1,bluffton stone co.,10+ years,62000,Source Verified,11-Dec,Fully Paid,credit_card,Credit Card Loan,OH,,0,22068.53,16000,6068.53,0
35000,35000, 60 months,20.89%,F,F1,Jefferson County Wi,10+ years,100000,Verified,11-Dec,Fully Paid,debt_consolidation,Credit card payoff,WI,66,0,52413.13762,35000,17413.14,0
5000,5000, 36 months,9.91%,B,B1,South Denver GI,1 year,31000,Source Verified,11-Dec,Fully Paid,moving,Moving,CO,19,0,5800.460782,5000,800.46,0
11200,11200, 36 months,10.65%,B,B2,Claremont Hotel Club & Spa,10+ years,83000,Verified,11-Dec,Fully Paid,credit_card,CC Refinance,CA,24,0,13133.46019,11200,1933.46,0
12000,12000, 60 months,17.27%,D,D3,Emeritus Senior Living - Big Sky Senior Living,2 years,36048,Not Verified,11-Dec,Fully Paid,debt_consolidation,credit card consolidation,MT,13,0,15075.09841,12000,3075.1,0
3200,3200, 36 months,12.69%,B,B5,Golden Nugget Hotel and Casino,5 years,54000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Consolidation Loan,NV,,0,3643.531676,3200,443.53,0
3100,3100, 36 months,11.71%,B,B3,select,< 1 year,20000,Source Verified,11-Dec,Fully Paid,credit_card,credit card,CA,27,0,3513.775873,3100,413.78,0
5000,5000, 36 months,9.91%,B,B1,ATHENS FIRST BANK AND TRUST,2 years,25000,Source Verified,11-Dec,Fully Paid,medical,Medical,GA,,0,5648.356154,5000,648.36,0
25000,25000, 36 months,12.69%,B,B5,"J. Sosnick & Son, Inc.",2 years,80000,Verified,11-Dec,Fully Paid,debt_consolidation,Loan Consolidation,CA,34,0,30103.45101,25000,5103.45,0
8800,8800, 36 months,6.03%,A,A1,Panasonic Electric Works of America,5 years,135000,Not Verified,11-Dec,Fully Paid,home_improvement,Loan,OH,,0,9641.952115,8800,841.95,0
6000,6000, 36 months,14.27%,C,C2,Bay Medical Management,9 years,55000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation 1,CA,35,0,7410.669006,6000,1410.67,0
12000,12000, 36 months,14.65%,C,C3,Windsor Health Group,5 years,36888,Source Verified,11-Dec,Fully Paid,small_business,Personal loan,GA,53,0,14261.86255,12000,2261.86,0
8000,8000, 36 months,15.96%,C,C5,Texas A&M University,5 years,48500,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Primary,TX,57,0,9037.370913,8000,1037.37,0
10000,10000, 36 months,11.71%,B,B3,"Virginia Marble Mfrs, Inc.",10+ years,32000,Verified,11-Dec,Fully Paid,debt_consolidation,catch up,VA,,0,11907.34732,10000,1907.35,0
21000,21000, 60 months,15.27%,C,C4,Red Robin International,7 years,90000,Verified,11-Dec,Fully Paid,home_improvement,home,WA,,0,30154.17473,21000,9154.17,0
3975,3975, 60 months,17.58%,D,D4,Health Plan of Nevada,6 years,42000,Source Verified,11-Dec,Fully Paid,debt_consolidation,CC loan,NV,,0,6001.060004,3975,2026.06,0
5000,5000, 36 months,14.27%,C,C2,Zenith Management Group,1 year,60000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt consolidation,FL,,0,6175.557502,5000,1175.56,0
35000,35000, 60 months,12.69%,B,B5,State of California,10+ years,102000,Verified,11-Dec,Fully Paid,debt_consolidation,Consolidation,CA,,0,47448.731,35000,12448.73,0
10625,10625, 36 months,12.42%,B,B4,hudson city saving bank,2 years,30000,Not Verified,11-Dec,Fully Paid,credit_card,pay off credit cards,NY,,0,11246.35163,10625,621.35,0
12000,12000, 36 months,11.71%,B,B3,Akam Associates,8 years,50000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt consolidation,NY,,0,14288.76169,12000,2288.76,0
9750,9750, 36 months,16.77%,D,D2,Cash and Carry,< 1 year,24300,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt/High Intrest Consolidation,OR,,0,12001.71063,9750,2251.71,0
12000,12000, 36 months,17.27%,D,D3,power ford lincoln,4 years,50000,Not Verified,11-Dec,Fully Paid,other,credit cards and vacation,CA,,0,15460.05809,12000,3460.06,0
21600,21600, 36 months,19.03%,E,E2,TOPTEL USA,7 years,120000,Source Verified,11-Dec,Fully Paid,debt_consolidation,FREEDOM,CA,,0,28515.48937,21600,6915.49,0
6000,6000, 36 months,8.90%,A,A5,"Patient Caregivers, LLC",< 1 year,26400,Not Verified,11-Dec,Fully Paid,home_improvement,Personal Loan ,TX,25,0,6858.690042,6000,858.69,0
25450,25450, 60 months,21.28%,F,F2,Snyder's-Lance,5 years,82000,Verified,11-Dec,Fully Paid,major_purchase,Personal Loan,SC,,0,26349.28749,25450,899.29,0
3575,3575, 36 months,7.51%,A,A3,American Medical Response,6 years,45000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Lending Club Refinance,FL,,0,3789.945219,3575,214.95,0
12000,12000, 36 months,12.42%,B,B4,post fall school district,10+ years,55000,Source Verified,11-Dec,Fully Paid,credit_card,Consolidate Cards,WA,15,0,14435.3454,12000,2435.35,0
3000,3000, 36 months,11.71%,B,B3,JCPenney,10+ years,30000,Not Verified,11-Dec,Fully Paid,credit_card,get out of debt loan,CO,57,0,3325.555534,3000,325.56,0
21000,21000, 36 months,11.71%,B,B3,Pepsi Bottling Ventures,10+ years,60000,Source Verified,11-Dec,Fully Paid,home_improvement,Home Improvement Loan,NC,5,0,25005.40184,21000,4005.4,0
25000,25000, 60 months,18.25%,D,D5,Sorenson Communications,6 years,92604,Source Verified,11-Dec,Fully Paid,debt_consolidation,Conso Loan,NY,4,0,29289.90908,25000,4289.91,0
6075,6075, 36 months,6.03%,A,A1,"Akamai Technologies, Inc.",8 years,79200,Source Verified,11-Dec,Fully Paid,debt_consolidation,Pay off credit card,MA,,0,6647.041608,6075,572.04,0
5000,5000, 36 months,11.71%,B,B3,Wolverine Tube,10+ years,43000,Source Verified,11-Dec,Fully Paid,other,Personal Loan,OK,30,0,5953.67366,5000,953.67,0
8000,8000, 36 months,15.96%,C,C5,quad graphics,4 years,42000,Source Verified,11-Dec,Fully Paid,debt_consolidation,payments due,GA,,0,9924.390766,8000,1924.39,0
11000,11000, 36 months,12.42%,B,B4,SPX Corporation ,1 year,85000,Source Verified,11-Dec,Fully Paid,credit_card,Credit Card Payoff,NC,,0,12561.16807,11000,1561.17,0
33600,33600, 60 months,14.27%,C,C2,Bradley University,10+ years,86000,Source Verified,11-Dec,Fully Paid,debt_consolidation,consolidate,IL,,0,47066.88998,33600,13466.89,0
12000,12000, 36 months,14.27%,C,C2,gad light,3 years,75000,Not Verified,11-Dec,Fully Paid,credit_card,living smart,CA,,0,13787.9908,12000,1787.99,0
12000,12000, 36 months,6.62%,A,A2,Toyota,10+ years,90000,Verified,11-Dec,Fully Paid,debt_consolidation,Consolidation,KY,,0,13263.95464,12000,1263.95,0
11100,11100, 60 months,15.96%,C,C5,Jefferson Security Bank,10+ years,50000,Verified,11-Dec,Fully Paid,debt_consolidation,The Blessing Loan,WV,,0,14764.2117,11100,3664.21,0
20000,20000, 36 months,18.64%,E,E1,Lighthouse Property Management Inc.,2 years,61000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,CA,31,0,26272.2,20000,6272.2,0
15000,15000, 36 months,17.27%,D,D3,TechMahindra(America) Inc,6 years,90000,Source Verified,11-Dec,Fully Paid,credit_card,To pay off the credit card loan,CT,45,0,19325.09949,15000,4325.1,0
24000,24000, 36 months,17.58%,D,D4,Liberty Mutual,3 years,80500,Verified,11-Dec,Fully Paid,credit_card,Credit Card Refinance,NH,,0,30715.08525,24000,6715.09,0
8500,8500, 36 months,10.65%,B,B2,"Victor M. Morales, Architect",10+ years,50000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Liberty,NY,,0,9967.357623,8500,1467.36,0
23000,23000, 60 months,18.64%,E,E1,Delta Air Lines,6 years,62000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,GA,73,0,31419.61761,23000,8419.62,0
5500,5500, 36 months,9.91%,B,B1,Andritz,6 years,59000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Dept consolidation,TX,53,0,6285.088691,5500,785.09,0
8875,8875, 36 months,14.65%,C,C3,Cross Country Staffing,< 1 year,33000,Verified,11-Dec,Fully Paid,wedding,For a Dream Wedding,FL,12,0,9999.35958,8875,1124.36,0
35000,35000, 60 months,13.49%,C,C1,Chevron,10+ years,135000,Verified,11-Dec,Fully Paid,other,investments,PA,,0,35782.7304,35000,782.73,0
10000,10000, 36 months,13.49%,C,C1,CPC,5 years,25000,Not Verified,11-Dec,Fully Paid,credit_card,card repayment,NY,44,0,12214.91792,10000,2214.92,0
18650,18650, 36 months,7.90%,A,A4,G and K Services,10+ years,50000,Not Verified,11-Dec,Fully Paid,credit_card,keywest,WI,,0,21008.24627,18650,2358.25,0
16000,16000, 60 months,15.27%,C,C4,Digital Evolution Inc.,5 years,99000,Verified,11-Dec,Fully Paid,debt_consolidation,credit card debt,NY,,0,22965.28,16000,6965.28,0
23700,23700, 60 months,17.58%,D,D4,Federal Reserve Bank of Boston,5 years,105842,Source Verified,11-Dec,Fully Paid,credit_card,Lending Club Loan,MA,,0,33466.4081,23700,9766.41,0
6400,6400, 36 months,7.51%,A,A3,United Stationers,< 1 year,76800,Not Verified,11-Dec,Fully Paid,major_purchase,Major Purchase Loan,IL,,0,7167.927438,6400,767.93,0
7000,7000, 60 months,18.64%,E,E1,Amplify FCU,2 years,33000,Source Verified,11-Dec,Fully Paid,other,Other Loan,TX,,0,7390.474961,7000,390.47,0
3500,3500, 36 months,14.27%,C,C2,SAS Retail Merchandising,< 1 year,34000,Not Verified,11-Nov,Fully Paid,debt_consolidation,Debt Consolidation,CA,68,0,4322.847207,3500,822.85,0
10200,10200, 36 months,7.90%,A,A4,Genworth Financial,< 1 year,65000,Source Verified,11-Dec,Fully Paid,other,personal loan,CA,,0,11458.71127,10200,1258.71,0
4000,4000, 36 months,12.69%,B,B5,LAFCU,10+ years,43000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Discover,CA,,0,4604.351092,4000,604.35,0
20000,20000, 60 months,17.58%,D,D4,Zions Bank,2 years,120000,Verified,11-Dec,Fully Paid,credit_card,Consolidate 1,UT,,0,24293.1831,20000,4293.18,0
5000,5000, 36 months,9.91%,B,B1,panera bread,3 years,55000,Source Verified,11-Dec,Fully Paid,other,Other Loan,FL,,0,5800.460782,5000,800.46,0
7200,7200, 36 months,6.62%,A,A2,U S Postal Service,10+ years,71000,Verified,11-Dec,Fully Paid,other,Refiance,CA,,0,7352.91301,7200,152.91,0
5500,5500, 36 months,7.51%,A,A3,AstroMotive Auto Service,4 years,63000,Verified,11-Dec,Fully Paid,other,shovelhead,CA,13,0,5538.32,5500,38.32,0
3000,3000, 36 months,10.65%,B,B2,Jimmy Duffy & Sons,< 1 year,30000,Not Verified,11-Dec,Fully Paid,major_purchase,Toy Car,PA,52,0,3347.370611,3000,347.37,0
20000,20000, 60 months,15.27%,C,C4,Duke Energy (Oconee Nuclear Station),10+ years,110000,Verified,11-Dec,Fully Paid,debt_consolidation,Credit Card Payoff loan,SC,,0,28724.94552,20000,8724.95,0
9000,9000, 36 months,16.77%,D,D2,KNOX COMMUNITY HOSPITAL,9 years,40000,Verified,11-Dec,Fully Paid,credit_card,RE-DO LOAN,OH,58,0,11514.39001,9000,2514.39,0
9000,9000, 36 months,8.90%,A,A5,I-Deal,3 years,80000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt consolidation,NY,,0,9257.872427,9000,257.87,0
6000,6000, 36 months,7.90%,A,A4,Wheeler Mfg.,10+ years,34000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,SD,,0,6724.736184,6000,724.74,0
4000,4000, 36 months,6.62%,A,A2,"Fleurissima, inc",9 years,80000,Source Verified,11-Dec,Fully Paid,home_improvement,Home improvement,FL,,0,4022.34,4000,22.34,0
28200,28200, 60 months,19.03%,E,E2,Military,10+ years,72000,Verified,11-Dec,Fully Paid,home_improvement,Home Improvement Loan,MD,,0,43685.50995,28200,15485.51,0
21200,21200, 60 months,18.25%,D,D5,Conergy,4 years,57250,Verified,11-Dec,Fully Paid,debt_consolidation,2011 Debt Consolidation,CO,36,0,30870.99967,21199.99,9671.01,0
25000,25000, 36 months,15.27%,C,C4,University of Arizona Foundation,5 years,168000,Verified,11-Dec,Fully Paid,debt_consolidation,Medical and Debt Consolidation,AZ,49,0,31135.68374,25000,6135.68,0
12000,12000, 36 months,11.71%,B,B3,L3-Insight Technology,7 years,38000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Personal Loan,MA,24,0,14157.28202,12000,2157.28,0
15000,15000, 60 months,20.30%,E,E5,United States Marshal Service,6 years,95000,Verified,11-Dec,Fully Paid,other,fix up the house,OH,,0,24002.47508,15000,9002.48,0
17000,17000, 36 months,12.42%,B,B4,Target.com,< 1 year,76788,Verified,11-Dec,Fully Paid,home_improvement,Pool,AZ,65,0,18959.8184,17000,1959.82,0
20000,20000, 36 months,7.51%,A,A3,Aramark Healthcare,10+ years,59000,Verified,11-Dec,Fully Paid,other,Other Loan,WI,,0,21619.44548,20000,1619.45,0
7700,7700, 36 months,8.90%,A,A5,,6 years,24000,Source Verified,11-Dec,Fully Paid,credit_card,Debt/Credit Card Consolidation,WA,,0,8801.988943,7700,1101.99,0
14000,14000, 60 months,17.58%,D,D4,pace computer solutions,4 years,71000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Repay Loans,NJ,,0,15003.62042,14000,1003.62,0
10000,10000, 36 months,12.42%,B,B4,HK ,< 1 year,40000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Pay off Credit,NY,46,0,11749.77625,10000,1749.78,0
6475,6475, 36 months,9.91%,B,B1,VASONA CREEK HEALTHCARE CENTER,4 years,25000,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,CA,,0,7494.66927,6475,1019.67,0
12600,12600, 60 months,19.03%,E,E2,Crawford County Job & Family Services,10+ years,37209.6,Source Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation,OH,33,0,19623.49802,12600,7023.5,0
15600,15600, 36 months,6.03%,A,A1,Beaumont Library District,9 years,73000,Not Verified,11-Dec,Fully Paid,debt_consolidation,Pay off Credit Card,CA,,0,16352.18237,15600,752.18,0
25000,25000, 36 months,15.96%,C,C5,1Life Healthcare,3 years,110000,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation,CA,,0,31623.49347,25000.01,6623.48,0
14400,14400, 36 months,14.27%,C,C2,Prairie Farms Dairy,10+ years,108060,Not Verified,11-Dec,Fully Paid,credit_card,Credit Card for home improvement ,IL,73,0,17666.16471,14400,3266.16,0
25000,25000, 36 months,6.62%,A,A2,"Amphora, Inc.",2 years,249999.96,Source Verified,11-Dec,Fully Paid,car,VWLOAN,TX,,0,26421.92328,25000,1421.92,0
25000,25000, 60 months,18.25%,D,D5,Polk County School Board,10+ years,46520.88,Verified,11-Dec,Fully Paid,debt_consolidation,Debt Consolidation Loan,FL,,0,38294.08631,25000,13294.09,0
18000,18000, 36 months,7.90%,A,A4,county of san bernardino,9 years,43000,Source Verified,11-Dec,Fully Paid,debt_consolidation,debt consolidation,CA,,0,20276.0603,18000,2276.06,0
12000,12000, 36 months,6.62%,A,A2,,n/a,57758.88,Verified,11-Dec,Fully Paid,debt_consolidation,Combine 2 credit cards into fixed loan,MO,45,0,13263.95463,12000,1263.95,0
4000,4000, 36 months,6.03%,A,A1,Mercy Health,10+ years,89000,Not Verified,11-Nov,Fully Paid,debt_consolidation,Debt Consolidation Loan,MO,,0,4379.054635,4000,379.05,0
30000,30000, 60 months,18.64%,E,E1,AT&T,2 years,90960,Verified,11-Dec,Fully Paid,debt_consolidation,Getting Out Of Debt,TX,,0,42929.09436,30000,12929.09,0
27700,27700, 60 months,20.30%,E,E5,Wal Mart,6 years,60000,Verified,11-Dec,Fully Paid,small_business,Small Business Loan,OR,,0,44310.38325,27700,16610.38,0
12000,12000, 36 months,7.51%,A,A3,US.  Dept of Labor,10+ years,90000,Verified,11-Dec,Fully Paid,debt_consolidation,Myreduction,MD,,0,13170.37622,12000,1170.38,0
10000,10000, 36 months,7.51%,A,A3,PROGRESS HEALTH CENTER,2 years,94800,Not Verified,11-Dec,Fully Paid,medical,COSMETIC,FL,36,0,10208.16646,10000,208.17,0
